"Protein"	"Organism"	"AA_1.Intensity"	"AA_2.Intensity"	"AA_3.Intensity"	"AB_1.Intensity"	"AB_2.Intensity"	"AG_1.Intensity"	"AG_2.Intensity"	"BA_1.Intensity"	"BA_2.Intensity"	"BA_3.Intensity"	"BB_2.Intensity"	"BB_3.Intensity"	"BG_1.Intensity"	"BG_2.Intensity"
"sp|Q9UPW6|SATB2_HUMAN"	"HUMAN"	1755457.9	1598567	1737091.1	1967656.4	1662665.5	1743060.5	1754425.6	1938663.4	1908172	1971820.4	1911555.6	2030936.1	1868959.4	2053514.6
"sp|Q9UPY3|DICER_HUMAN"	"HUMAN"	714950.44	180093.23	649284.75	178733.94	610359.6	564199.44	545590.9	175059.4	178730.34	270834.25	410437.84	223292.11	225842.33	201620.84
"sp|Q9UPY5|XCT_HUMAN"	"HUMAN"	0	0	0	21625.146	40028.742	0	0	0	0	0	31738.035	0	0	0
"sp|Q9UPY8|MARE3_HUMAN"	"HUMAN"	745232.94	836548.9	692886.1	823977.94	745409.5	922518.25	734467	791434.1	969151.6	683045.9	742408.8	801847.44	934839.06	666900.1
"sp|Q9UQ13|SHOC2_HUMAN"	"HUMAN"	102893.03	143634.31	64427.285	170173.19	67387.914	78608.836	110517.41	198785.27	85089.56	70819.11	76089.625	83602.41	190944.44	106448.09
"sp|Q9UQ16|DYN3_HUMAN"	"HUMAN"	135886.55	136293.78	171658.62	101147.34	162071.25	126073.445	179453.67	125981.734	180819.97	181996.98	155310.39	160741.23	142450.25	155750.22
"sp|Q9UQ35|SRRM2_HUMAN"	"HUMAN"	13195084	14565853	14055863	14428681	13972927	13967027	13698559	15521063	15700136	14759250	14574599	14151811	14000335	13964062
"sp|Q9UQ49|NEUR3_HUMAN"	"HUMAN"	27087.295	30147.578	32264.596	33968.59	32374.838	38476.527	37086.523	0	0	0	35048.035	114159.79	0	27144.307
"sp|Q9UQ80|PA2G4_HUMAN"	"HUMAN"	26965100	29131348	28513812	28510194	28682426	28888368	28685862	30267912	31657036	31071686	29384482	28320852	30179012	29977162
"sp|Q9UQ84|EXO1_HUMAN"	"HUMAN"	86328.734	186410.98	226492.5	192643.2	175406.53	253209.06	166305.69	145190.7	216411.97	267663.3	240296.83	134417.3	224695.67	214793.25
"sp|Q9UQ90|SPG7_HUMAN"	"HUMAN"	0	0	0	0	0	1845297.5	0	0	0	0	1254533.6	0	0	0
"sp|Q9UQB8|BAIP2_HUMAN"	"HUMAN"	1194309.1	1782188.9	1630929.6	1761615.9	1492904.1	1350241.9	1553985.5	1627700.1	1425273.8	1570336.5	1496122.8	1523766.6	1511197	1568029.1
"sp|Q9UQB9|AURKC_HUMAN"	"HUMAN"	19028.408	65103.17	0	39137.57	62045.4	53409.22	73524.266	75022.89	0	37500.656	0	40580.312	68000.03	0
"sp|Q9UQC2|GAB2_HUMAN"	"HUMAN"	886179.06	564494.2	818341.3	660910.6	707951.2	454169.34	659337.1	946261	815876.5	491098.22	577775	527280.5	634013.5	493010.62
"sp|Q9UQE7|SMC3_HUMAN"	"HUMAN"	4848140.5	4280307	5320291	6822458.5	6213927.5	6792413	6008286.5	6346706.5	6275093	5193433	5497358	5376117.5	6063393	5438443
"sp|Q9UQL6|HDAC5_HUMAN"	"HUMAN"	146269.22	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|Q9UQR0|SCML2_HUMAN"	"HUMAN"	1183865.5	1381228.6	1287189	1427154.8	1316518	1469088	1521269	1580036.8	1536013.2	1498491.2	1602164.2	1307332.9	1634747.8	1327829.5
"sp|Q9UQR1|ZN148_HUMAN"	"HUMAN"	144277.89	147959.05	100211.6	127472.1	101441.29	148370.66	90287.07	168987.72	184776.94	136821.6	128238.03	151025.95	150415.45	99367.04
"sp|Q9Y221|NIP7_HUMAN"	"HUMAN"	3167734.5	3036534	2661173.8	2896344	2763915.8	2940682	2823753.5	3191754.5	3275208.2	3001084.5	3025985.2	2815313.8	3161821	2899949.5
"sp|Q9Y223|GLCNE_HUMAN"	"HUMAN"	874991.9	832152.9	872946.25	893079.25	946924.9	851196.8	980381.1	1048951.4	888522.3	980214.06	941126.44	859862.7	980323.3	853702.3
"sp|Q9Y224|RTRAF_HUMAN"	"HUMAN"	6677333.5	6893648	6012182	7521389	7066098.5	7425421.5	7171358	6968898	6723484	6097256.5	6182731.5	5925877.5	6752440	6197547
"sp|Q9Y230|RUVB2_HUMAN"	"HUMAN"	7997044	8421429	8609932	8038762	8027441	8492623	8326151	8458039	8133254.5	8005797.5	7398577	7110217.5	8044420.5	7544676.5
"sp|Q9Y232|CDYL_HUMAN"	"HUMAN"	435217.28	397189.06	402639.5	430088.75	392801.56	522433.1	412949.5	602005.75	603276.3	526460.94	419849.12	407377.12	555811.6	409177.25
"sp|Q9Y237|PIN4_HUMAN"	"HUMAN"	954815.56	1107651.2	953211.25	769536.56	971307.6	833353.44	905695.44	1009249.75	911024.44	1012767.7	864038.2	977700.8	1010644.56	886587.6
"sp|Q9Y241|HIG1A_HUMAN"	"HUMAN"	719254.9	655548.8	687411.1	715193.5	705949.4	704596.6	653827	880558.6	840337.1	854677.56	743123.8	712796.1	839941.25	923080.4
"sp|Q9Y244|POMP_HUMAN"	"HUMAN"	2290855	2305386.5	2205644.8	2221781.5	2263803.2	2384465.5	2190851.5	2164499	2321022.8	2122242	2119285.8	2195762.2	2348556.5	2265218
"sp|Q9Y248|PSF2_HUMAN"	"HUMAN"	141439.22	0	163743.61	0	195382.27	117655.08	108800.26	0	0	0	0	73972.62	0	194111.23
"sp|Q9Y250|LZTS1_HUMAN"	"HUMAN"	0	0	0	0	0	72993.95	0	0	0	0	0	77589.24	56722.848	0
"sp|Q9Y255|PRLD1_HUMAN"	"HUMAN"	16477.666	0	21186.47	20113.863	22007.48	0	22762.201	15665.765	21158.76	26529.441	0	21244.516	26476.412	0
"sp|Q9Y262|EIF3L_HUMAN"	"HUMAN"	7650386.5	8552675	8660449	8443087	7326479.5	7758483	7286090	8418273	9559536	7264639	9180212	8040005	9097886	8233081.5
"sp|Q9Y263|PLAP_HUMAN"	"HUMAN"	2096652.4	2094961.6	2249500.5	1965390.9	1985928.6	2078395.2	2067281.4	2999600.2	2652538.8	3092635.2	2815027.8	2681582	2739734.5	3019170.8
"sp|Q9Y265|RUVB1_HUMAN"	"HUMAN"	16579761	16964174	17199226	17038082	16421874	17125550	16379508	18641944	18030284	17794104	16934114	17066780	17870638	17328566
"sp|Q9Y266|NUDC_HUMAN"	"HUMAN"	21448116	23465182	23106550	23071350	21679082	22357188	22825578	25608410	26169924	27204522	24437028	23500768	24490016	24923060
"sp|Q9Y276|BCS1_HUMAN"	"HUMAN"	1394707.4	1481252.4	1094377.2	1619919.9	1383916.4	1219533.2	1357702.1	1524862.6	1380637.4	1264597.1	1467532	1373324.2	939021.2	1420572.1
"sp|Q9Y277|VDAC3_HUMAN"	"HUMAN"	2108501.5	2173460.2	850036.9	2260181.2	1988099.8	2415678	1981474.2	2062839.2	1758782.8	1693014.4	1696717.2	2028657.5	1674746.1	1916673.9
"sp|Q9Y281|COF2_HUMAN"	"HUMAN"	72136.79	74410.914	65055.52	82765.42	64485.773	66469.414	71750.73	83595.47	81002.47	67397.71	75871.41	61920.05	79273.05	68162.37
"sp|Q9Y284|ASTER_HUMAN"	"HUMAN"	196155.17	156576.7	93860.23	186857.69	163427.17	166585.72	164233.5	160700.89	118511.54	124389.2	100986.516	92948.71	88526.79	99646.234
"sp|Q9Y285|SYFA_HUMAN"	"HUMAN"	7258981.5	7779561.5	6792013.5	7979714	5933097	7789527	6495350.5	6999184.5	8791014	7785611.5	8060000	7273677	8027749	8684623
"sp|Q9Y289|SC5A6_HUMAN"	"HUMAN"	154123.23	159188.06	158393.66	35967.83	84670.01	118355.07	132392.36	130773.87	119237.21	158241.64	122239.75	124998.055	130822.67	74883.41
"sp|Q9Y291|RT33_HUMAN"	"HUMAN"	328651.75	298596.47	349695.8	276741.75	314730.66	358765.5	350827.06	370436.38	366500.12	347663.88	375015.66	343012.4	321946.72	427874.28
"sp|Q9Y294|ASF1A_HUMAN"	"HUMAN"	1120122.9	1123418.6	2122026	1952580.9	1756056.2	2349542.8	2561849.5	2340064.2	2485131.8	2230415.8	2519325.5	2067647.2	2372143	2132629.8
"sp|Q9Y295|DRG1_HUMAN"	"HUMAN"	3352814	3589788.8	3308230.5	3338709	4420290	3598047	3463783.8	3658526.8	3567016	4549202	3311066.8	3235440.2	3618692.8	3563298
"sp|Q9Y296|TPPC4_HUMAN"	"HUMAN"	727584.9	697939	582968.75	720878.06	537249.44	351183.3	730119.6	524969.8	522093.84	240677.5	585178.75	647152.1	272018.56	261569.5
"sp|Q9Y2A7|NCKP1_HUMAN"	"HUMAN"	1497157.2	1593806.8	1485345.8	1675192.4	1713270	1533158.6	1590172.8	1637948.4	1550503.9	1654267.1	1811296.2	1454357.9	1500461.4	1474664.4
"sp|Q9Y2B0|CNPY2_HUMAN"	"HUMAN"	2984252.5	2967822	3177118.8	2908675.8	3112274.8	3076996.8	3171188.8	3289778.8	3230280	3074593.5	3187722.5	3141713.8	3263239	3183707.2
"sp|Q9Y2D8|ADIP_HUMAN"	"HUMAN"	379418.56	282715.38	331757.5	393294.47	170770.17	406752.25	270542.1	488130.34	416514.1	468153.38	370537.4	394282.56	389887.44	295072.75
"sp|Q9Y2F5|ICE1_HUMAN"	"HUMAN"	48735.195	54267.105	0	81573.15	16675.078	52089.836	50265.62	0	11557.638	14294.732	67758.25	85076.53	23455.621	606926.8
"sp|Q9Y2G3|AT11B_HUMAN"	"HUMAN"	219987.72	195591.69	245111.5	176969.69	254986.81	193798.34	140977.11	156804.95	179708.3	242452.56	196591.62	217092.9	203734.19	283915.44
"sp|Q9Y2G5|OFUT2_HUMAN"	"HUMAN"	104045.91	93593.93	110204.484	98740.66	106050.52	56563.965	65798.2	41691.28	104154.56	96813.73	102921.83	116498.53	100579.78	119653.17
"sp|Q9Y2H0|DLGP4_HUMAN"	"HUMAN"	42118.453	101791.64	85117.66	124263.914	101415.31	49196.133	119254.27	104297.8	102583.25	91063.03	95086.2	23210.703	102743.83	31048.936
"sp|Q9Y2H1|ST38L_HUMAN"	"HUMAN"	66915.94	33339.168	119093.7	79118.414	72011.35	22712.977	76686.52	0	51209.816	50928.5	2587555.2	55348.945	94274.06	64621.996
"sp|Q9Y2I1|NISCH_HUMAN"	"HUMAN"	630397.5	742922.6	623563.5	838449.9	841567	825793.06	690754.2	650006.4	806480.6	819982.7	898851.4	726342.4	946269.6	726015.06
"sp|Q9Y2I7|FYV1_HUMAN"	"HUMAN"	415395.62	345057.72	109392.766	168931.88	281988.72	429408.56	339549.6	446917.78	207918.44	132767.56	235899.12	104295.22	406949	386059.38
"sp|Q9Y2I8|WDR37_HUMAN"	"HUMAN"	46173.668	81057.086	49442.113	94011.33	117516.75	91899.67	92751.94	89377.914	93993.59	89950.484	109413.54	84311.625	96224.92	95832.89
"sp|Q9Y2K2|SIK3_HUMAN"	"HUMAN"	425794.25	325538.94	437875.06	572115	237701.38	377305.8	465169.7	345808.06	265680.34	380498.66	299573.88	99598.164	602894.75	64569.65
"sp|Q9Y2K6|UBP20_HUMAN"	"HUMAN"	231433.88	0	57539.32	63665.004	85380.61	263237	54685.29	74380.305	72395.055	68611.36	61398.836	64023.79	80095.97	65670.305
"sp|Q9Y2K7|KDM2A_HUMAN"	"HUMAN"	938344.8	758278	949470.7	913928.44	917798.25	843221.5	667071.3	483492.16	721600.25	835036.75	733045.75	872738.25	825749.94	895771.3
"sp|Q9Y2L1|RRP44_HUMAN"	"HUMAN"	3016614	2916006.2	2673676	3336076.8	3251964.8	3028252	2774951	3566947	3432535	3357749.5	3221657	3109416.2	3647211.2	3287075.5
"sp|Q9Y2L5|TPPC8_HUMAN"	"HUMAN"	757794.4	868207.75	1018917.6	768606.8	954329.94	925240.7	1056819.2	1011432.25	973928.44	1247004.2	1141485.9	1253025.4	1016765.4	1094790.2
"sp|Q9Y2L9|LRCH1_HUMAN"	"HUMAN"	0	0	0	0	51826.098	106375.43	0	0	39223.527	0	19927.883	0	50021.746	35143.266
"sp|Q9Y2P8|RCL1_HUMAN"	"HUMAN"	1080607.8	1042329.94	980369.1	1053480.1	922356.4	1042347	1036252.1	1089816.6	1025977.9	1181032.2	1059316.9	1023034.75	1113427.8	1027982.2
"sp|Q9Y2Q3|GSTK1_HUMAN"	"HUMAN"	3537295.5	3347019.2	2808096.8	3038582.8	3084758.5	3285346.8	3230548.5	3366491.2	3724524.5	3425808.5	3458304.2	3410984.2	4438005	3817789
"sp|Q9Y2Q5|LTOR2_HUMAN"	"HUMAN"	75912.81	93583.984	56675.9	66109.47	0	70822.92	44557.95	157855.42	191095.28	162257.58	134227.66	106798.22	168956	108045.125
"sp|Q9Y2Q9|RT28_HUMAN"	"HUMAN"	178026.3	321983.8	141802.05	310523.66	256432.12	394214.94	264626.12	354507.12	320544.22	305964.9	198386.47	289167.56	289574.8	269585.2
"sp|Q9Y2R0|COA3_HUMAN"	"HUMAN"	754602.94	871174	852658.9	778652.06	663490.5	854660	832651.06	835296.8	901966.1	0	858737.6	823691.9	891122.06	834584.3
"sp|Q9Y2R4|DDX52_HUMAN"	"HUMAN"	603568.06	600622	563007.2	524052.28	470145.06	512954.75	493359.4	1100807.1	869982.25	1121997.9	670612.3	657877.4	527904.44	665007
"sp|Q9Y2R5|RT17_HUMAN"	"HUMAN"	291260.88	299390.94	317402.75	314248	332565.5	300537.44	321637.56	317529.16	332284.4	301513.62	309798.7	325284.06	283250.03	297401.47
"sp|Q9Y2R9|RT07_HUMAN"	"HUMAN"	2342772.2	2291440	2543777	2367583.5	2161491.2	2100230.8	2300772.8	2465132.5	1717007.2	2035798.4	2101767	2471580.5	2021847.6	2222837
"sp|Q9Y2S7|PDIP2_HUMAN"	"HUMAN"	2125278	2037700.1	2103590.8	2079560.6	2198733	2118610	2052076.2	2083176.5	2118386.5	2054342.5	2169732.8	2198197	2024541.5	1912051.2
"sp|Q9Y2T2|AP3M1_HUMAN"	"HUMAN"	995126.25	849511.3	1152126	782603.7	894394.6	1098957.9	867659.9	1053721.8	1114134.2	989410.75	896940.94	839297.94	1047335.9	930035.75
"sp|Q9Y2U8|MAN1_HUMAN"	"HUMAN"	75842.5	85400.09	115509.05	88821.62	192554.66	86631.41	87776.29	85588.164	196606.38	155985.94	96238.34	107562.47	183897.44	200703.97
"sp|Q9Y2V0|CDIN1_HUMAN"	"HUMAN"	282281.3	84816.59	426381.56	439208.25	242864.53	153375.05	394013.5	339969.28	119498.72	268096.44	377372.2	156427.6	181219.39	59439.895
"sp|Q9Y2V2|CHSP1_HUMAN"	"HUMAN"	2655575.8	2819121.5	2614883.2	2946979.8	2920942.2	2919553.5	2982866	2737483.8	3042912	2958549.2	2845848.5	2780208.5	3151357.2	2912536.5
"sp|Q9Y2V7|COG6_HUMAN"	"HUMAN"	544126.06	498076.7	337382.88	460360.88	440569.88	448969.38	456223.66	483936.9	459688.97	386641.9	396336.12	466695.34	545974.4	395024.8
"sp|Q9Y2W1|TR150_HUMAN"	"HUMAN"	9417054	10458052	10271836	9851275	10420590	10075874	10493420	10245503	11097017	12088164	10817287	11505528	9925439	11237514
"sp|Q9Y2W2|WBP11_HUMAN"	"HUMAN"	1850982.2	1706682.8	1844818.4	1203399.1	1920374	1727384.6	1901201.8	1044743.94	2992692	1190552.4	1216515.8	2728256.5	2926295.2	1152752.5
"sp|Q9Y2X0|MED16_HUMAN"	"HUMAN"	378790.6	324437.38	286823.84	256918.97	244395.5	311780.8	347985.8	440544.7	302984.84	395466.5	309486.8	396013.97	369503.16	259780.98
"sp|Q9Y2X3|NOP58_HUMAN"	"HUMAN"	4321262	4681894	4863221	4250260	4953468	4765866.5	4877050	4691295.5	5580388.5	5387991	5043848.5	4769986	5199997.5	5287425
"sp|Q9Y2X7|GIT1_HUMAN"	"HUMAN"	193098.73	263000.56	241571.31	336228.12	236571.23	315853.44	82178.73	312430.97	400118.47	276580.72	231304.31	189773.78	297045.4	320453.38
"sp|Q9Y2X9|ZN281_HUMAN"	"HUMAN"	286289.3	482262.97	557129.8	438713.2	429896.84	490168.8	419026.47	655599.44	749770	643934.1	496844.12	471098.62	1513955.2	625025.7
"sp|Q9Y2Y0|AR2BP_HUMAN"	"HUMAN"	368706.1	407114.8	308538.56	477478.2	425029.16	526835.4	416592.8	477555.97	412594.06	219947.38	470266.22	331025.6	492386.88	517528.12
"sp|Q9Y2Y1|RPC10_HUMAN"	"HUMAN"	326408.38	83899.12	0	187494.62	288001.5	124388.22	0	379107.75	287983.4	308540.75	88011.29	263488.5	85389.414	241629.3
"sp|Q9Y2Z0|SGT1_HUMAN"	"HUMAN"	5326022.5	5165947	5067161	5771223	4366203.5	5623674	5279311.5	5694273.5	5365130.5	4854193	4701156.5	4650325.5	4933738	4671214.5
"sp|Q9Y2Z2|MTO1_HUMAN"	"HUMAN"	420371.2	292479.4	279017.9	301168.2	212261.28	296185.8	227055.03	249272.62	284300.22	260860.5	316646.25	194423	296800.06	307786.56
"sp|Q9Y2Z4|SYYM_HUMAN"	"HUMAN"	2018717	1992384.1	1896246	2117180.8	2115500.8	2161032.5	2020711	2276013.2	2387551.2	2560453	2329162.5	2365778.5	2621494.5	2433826.5
"sp|Q9Y2Z9|COQ6_HUMAN"	"HUMAN"	47928.902	155634.1	303227.88	94374.305	237621	248722.67	328367.12	134983.42	177062.86	276220.25	282479.7	308207.56	320639.03	211126.34
"sp|Q9Y303|NAGA_HUMAN"	"HUMAN"	201018.62	39842.25	113540.44	202543.62	360583.06	1370876.8	1008607.06	137766.73	126141.73	101466.836	185369.11	138052.77	120674.234	183906.86
"sp|Q9Y305|ACOT9_HUMAN"	"HUMAN"	1963815	1881203.9	1531464.1	2282903.8	1907669.5	2065523	1668132.2	2688224.5	1796366	1552724.8	1768167.2	1472795	1828438.9	1764072
"sp|Q9Y312|AAR2_HUMAN"	"HUMAN"	1322600.8	4370272	4546079	1090608	4159264.2	962111.75	4035469.8	1367080.1	4965704.5	938760.25	4643760	4812575.5	1178500	1342298.8
"sp|Q9Y314|NOSIP_HUMAN"	"HUMAN"	3420135	3507414	3503601.8	3552955.2	3466175.8	3531397.8	3654111	3610737	3738080	3757155.5	3511350	3625490.2	3594860	3636290
"sp|Q9Y316|MEMO1_HUMAN"	"HUMAN"	2710415	2946319.8	2810122.5	3008996	2523856.8	2610160.2	2568974.5	2913865.8	2606929	2659319.2	2830095	2746333	2582731.2	2776830.2
"sp|Q9Y320|TMX2_HUMAN"	"HUMAN"	89873.016	78620.94	72321.23	74820.87	98604.86	81828.14	90600.11	85838.83	67899.21	74477.21	88122.4	97378.54	72275.414	92233.92
"sp|Q9Y324|FCF1_HUMAN"	"HUMAN"	213698.89	340089.38	269323.44	294040.03	291994.94	311373.5	296738.03	306677.56	344593.8	189482.36	370894.22	315743.3	325907.9	357830.12
"sp|Q9Y333|LSM2_HUMAN"	"HUMAN"	4962940	5180889	5022073	5435030.5	5154995.5	5314162.5	4937801	5587606	5410664	5314238.5	5255059	5058624.5	5332589.5	5461032
"sp|Q9Y343|SNX24_HUMAN"	"HUMAN"	0	51829.555	34966.51	54458.17	0	54454.254	0	33997.105	0	0	53401.09	50608.824	0	53745.426
"sp|Q9Y365|STA10_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	27449.39	0	0	0	0	0
"sp|Q9Y371|SHLB1_HUMAN"	"HUMAN"	428534.3	420800.7	350565.44	293800.8	346295.38	319721	337702.44	720669	593724.25	830671	544117.2	764193.25	502383.25	550176.06
"sp|Q9Y375|CIA30_HUMAN"	"HUMAN"	648286.56	354030.9	466386.44	615778.5	695013.1	589262.5	454035.75	686674.3	621333.25	452459.62	628558.2	580942.94	406508.75	404437.56
"sp|Q9Y376|CAB39_HUMAN"	"HUMAN"	3683080.2	4035286	4397346	3909509.5	4228540.5	4065016.2	5584988.5	4673980	4462699.5	4909792.5	4171029.2	4504601.5	4407598	5203096.5
"sp|Q9Y383|LC7L2_HUMAN"	"HUMAN"	17120596	17635482	18121434	17574718	18354474	18395232	18632280	18582594	18817070	19688048	18495352	18266054	19650894	18670000
"sp|Q9Y385|UB2J1_HUMAN"	"HUMAN"	0	35675.47	32830.85	30099.178	28687.434	33837.58	38413.26	0	0	0	36190.363	31713.203	49385.883	0
"sp|Q9Y388|RBMX2_HUMAN"	"HUMAN"	91969.07	56677.387	60814.23	76991.22	56320.008	59806.176	1038052.3	103167.375	0	0	56676.305	59660.617	55577.01	76016.94
"sp|Q9Y397|ZDHC9_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	7439.077	0	0	0	0	0	0
"sp|Q9Y399|RT02_HUMAN"	"HUMAN"	833340.44	660935.94	738232	659463	777119.75	660202.25	748276.56	683840.4	839483.8	1123784.1	689378.94	863320.8	786590	878341.8
"sp|Q9Y3A0|COQ4_HUMAN"	"HUMAN"	29731.797	60069.984	65949.13	42367.54	63037.96	0	43421.816	0	0	0	45862.1	51083.113	20774.553	0
"sp|Q9Y3A2|UTP11_HUMAN"	"HUMAN"	140844.94	84635.734	235911.53	198454.88	180713.72	157554.56	228523.12	164225.14	230542.03	206478.08	209864.31	233634.03	164154.11	168191.33
"sp|Q9Y3A3|PHOCN_HUMAN"	"HUMAN"	973621.25	1050695.5	1093055.6	1002926.56	977291.75	817002.1	912142.4	1034805.3	1186664.1	1025855.5	994923.6	1040787.44	967598.94	1044651.44
"sp|Q9Y3A4|RRP7A_HUMAN"	"HUMAN"	579615.94	563185.9	643270.3	599205	464648.56	539682.94	671605.75	1027889.75	922201.7	744888.9	673971.6	718109.1	710162.9	733490.9
"sp|Q9Y3A5|SBDS_HUMAN"	"HUMAN"	5838452	5961144.5	6351702.5	5793122	6063598.5	6450663	6050610.5	5969263	6091598.5	5726276.5	5954362	5616648	5931861	5751437.5
"sp|Q9Y3A6|TMED5_HUMAN"	"HUMAN"	23401.7	23374.559	0	0	0	0	0	0	0	17843.414	0	0	59933.836	22724.553
"sp|Q9Y3B2|EXOS1_HUMAN"	"HUMAN"	1562989.6	1960230.2	1694859	1784232.2	1874029.1	2052264.1	1776707.8	1768049.5	1849747.4	1218675.9	1205213.6	1086438	1620098.6	1685629.8
"sp|Q9Y3B3|TMED7_HUMAN"	"HUMAN"	523211.62	115090.09	439349.8	300306.38	116175	254012.28	266608.03	503054.56	333925.06	571830.9	265674.34	330447.5	515366.5	407791.2
"sp|Q9Y3B4|SF3B6_HUMAN"	"HUMAN"	1376429.6	1408723.5	1523771.2	1237597.5	977715.1	974135.56	1440845.5	1444938.6	1369645	1441774.5	1392603	1290328.6	1145439.4	1307327.9
"sp|Q9Y3B7|RM11_HUMAN"	"HUMAN"	286804.94	248339.17	327264.28	251544.5	251939.5	330668.22	277868.94	357334.34	302424.28	304354.47	301153.75	268185.9	256639.88	263050.03
"sp|Q9Y3B8|ORN_HUMAN"	"HUMAN"	596078	1191254.9	1110463.2	1171492.8	1172065.4	1327915.8	1028839.5	998576.4	1155540.8	1087598.9	1107742.6	1086040.1	1297401.2	1104340.8
"sp|Q9Y3B9|RRP15_HUMAN"	"HUMAN"	1132628.5	1196142.8	1216438.8	1228137.4	1250652.4	1136304.8	1309959	1206485.2	1060546.4	1223758.6	1216082	1271582.8	1154472.1	1173938.5
"sp|Q9Y3C0|WASC3_HUMAN"	"HUMAN"	0	0	0	0	0	24920.172	33225.613	0	0	50457.65	28726.559	0	0	0
"sp|Q9Y3C1|NOP16_HUMAN"	"HUMAN"	4739998	4519960.5	4421756.5	4642408.5	4839810.5	4717707	4646360.5	4666397	4503941.5	4719240.5	4914263.5	4936501	4751261.5	4774737.5
"sp|Q9Y3C4|TPRKB_HUMAN"	"HUMAN"	629445.2	440110.12	569336.06	510594.8	551113.56	531935.25	500579.12	677877.4	789316.25	427840.6	456505.06	675093	587390.9	593253.25
"sp|Q9Y3C6|PPIL1_HUMAN"	"HUMAN"	1796965.5	1664963.4	1644308.5	1858227.8	1781121.9	1710666.9	1748768.9	1829321.4	1730369.1	1705187.5	1659106	1629539	1674102.2	1689906.2
"sp|Q9Y3C7|MED31_HUMAN"	"HUMAN"	152739.4	194663.97	152458.1	147335.05	148387.48	164539.38	154224.89	153717.23	134508.56	141447.73	169854.98	134671.28	178408.88	178900.05
"sp|Q9Y3C8|UFC1_HUMAN"	"HUMAN"	1892953	1977775.1	1981710.8	2109146.5	2128666	2109313.8	2044367.5	2036652.8	2158502.8	2164448.2	1942134.5	2272818.2	2294259	2215788
"sp|Q9Y3D0|CIA2B_HUMAN"	"HUMAN"	1492393.8	1084911.4	1145685	985774	1803866.5	1128166	1478133.2	1581391.4	1933301	1694449.5	1143086.4	1187982	1927033	1277738.6
"sp|Q9Y3D2|MSRB2_HUMAN"	"HUMAN"	0	0	0	0	43910.98	0	40107.723	33309.035	32473.17	0	0	0	0	41130.64
"sp|Q9Y3D3|RT16_HUMAN"	"HUMAN"	1076701.5	940542.6	953360.7	982904.4	800103.6	960717.75	946749.5	933599.56	839114.3	948938.9	957159.56	1004510.6	975896.56	1001527.94
"sp|Q9Y3D5|RT18C_HUMAN"	"HUMAN"	506761.9	647785.2	727988.1	510210.84	626706.3	635196.3	628550.6	537034.7	657827.75	552830.94	643614.75	555753.6	519527.5	543945.9
"sp|Q9Y3D6|FIS1_HUMAN"	"HUMAN"	1451373.2	1560073.4	1372728.6	1444228	1610152.4	1297926.2	1664449.2	1267110.5	1548323.5	1438983	1327416.5	1427688.4	1526134.4	1373536.8
"sp|Q9Y3D7|TIM16_HUMAN"	"HUMAN"	1125067	888010.8	2038070.9	985649.25	820018.25	874543	1807599.8	1049557.9	740582.2	908420.25	1421543.5	808688.44	1647507.1	1252267.6
"sp|Q9Y3D8|KAD6_HUMAN"	"HUMAN"	1024235.94	1120469.8	1014315.25	1224400.4	918235.1	999021.2	1037612.4	1074198.8	1177190.9	1109535.2	924670	1093561	1041629.44	1027480.4
"sp|Q9Y3D9|RT23_HUMAN"	"HUMAN"	2260153.2	2037628	2422125.5	2196280.2	2462188.5	2384420.2	2555231.8	2199327.5	2091600.4	2310448.5	2567140.5	2564613.2	2350900.5	2161604.5
"sp|Q9Y3E1|HDGR3_HUMAN"	"HUMAN"	145047	122310.42	123712.516	151989.73	144566.69	141696.9	147919.4	0	117786.02	116728.586	132288.3	121776.06	135694.78	162829.86
"sp|Q9Y3E5|PTH2_HUMAN"	"HUMAN"	1457745.5	1392391.9	1479260.9	1420235.2	1422612.9	1525007.8	1542157.8	1385069.4	1514891.9	1650538.4	1488933	1513780	1508199.4	1699738.1
"sp|Q9Y3E7|CHMP3_HUMAN"	"HUMAN"	467907.25	0	111718.28	205954.47	150807.16	258973.16	106661.98	310285.7	347061.5	0	110453.26	251653.53	0	469361.88
"sp|Q9Y3F4|STRAP_HUMAN"	"HUMAN"	11893000	11530363	11475059	11649633	11827166	11359627	11685679	13869251	13350973	13571295	12262911	11923438	12314548	12066249
"sp|Q9Y3I0|RTCB_HUMAN"	"HUMAN"	8697109	8991299	8502988	9842944	9577346	9785014	9566314	9737364	10190719	9269305	9931972	9074750	10248444	9583740
"sp|Q9Y3I1|FBX7_HUMAN"	"HUMAN"	333632.94	439237.1	700946.4	399800.62	349486.78	383702.22	458788.44	519825.2	485997.94	506658.62	587787.9	473788.7	540215	630969.4
"sp|Q9Y3L3|3BP1_HUMAN"	"HUMAN"	686186.5	551926.5	609547.5	622628.3	710303.75	597990.56	436454.06	823995.5	734766.4	837940.4	453538.44	562281.6	603306.56	655027.94
"sp|Q9Y3L5|RAP2C_HUMAN"	"HUMAN"	100560.34	180174.92	132839.89	106727.48	183017.64	144115.27	201334.94	169534.34	156041.08	125631.61	136667.42	0	165039.95	91708.21
